Id,Term,Meaning
1,Act,"Means the Indian Railways Act, 1989"
2,Adequate Distance,Means the distance sufficient to ensure safety. These are known as overlaps in signalling context
3,Advance Section,Section between Intermediate Block Signal and First Stop Signal of station in advance (including block overlap)
4,Approach Lighting,Means an arrangement in which the lighting of signals is controlled automatically by the approach of a train.
5,Approach,"It is a locking provided on points in the route, overlap, isolation (as applicable) to prevent"
6,Locking/Dead,"their unlocking or operation of Points in the face of a train, approaching a stop/shunt signal in"
7,Approach,"it`s OFF position, such locking shall be effective even if such signal is put back to ON"
8,Locking,subsequently till lapse of defined time period. (Explanatory notes: Approach locking shall be
9,Approved Guide Lines,A set of guide lines issued for a specific purpose after due approval by competent authority.
10,Approved Special Instructions,Special instructions approved of or prescribed by the Commissioner of Railway Safety (CRS)
11,Approved Specification,A technical specification approved by RDSO/Competent authority
12,Approved Type  Automatic Train Supervision (ATS),An equipment/component which confirms to specification issued by RDSO/Competent authority Automatic Train Supervision (ATS) which comprises of various sub-systems which are used to regulate and control the operations of all the trains in the network by monitoring the positions of trains all over the network at every instant and implementing the pre defined operator commands for automatic route setting at interlocking and automatic turn backs at the terminal station etc.
13,Availability,"Ability of an item to be in a state to perform a required function under given conditions at a given instant of time or over a given time interval, assuming that the required external sources are provided."
14,Axle Counter,"An electrical device which, when provided at two given points on the track, proves by counting axles in and out, whether the section of the track between the said two points is clear or occupied;"
15,Axle Detector,The track device comprising of the coils sealed in a cover mounted on the rail. It will detect the wheel of rolling stock axle passing over the device.
16,Back Locking/,"It is a locking provided on all points in the route of a train (which has passed the signal), in"
17,Route Locking,"order to prevent their unlocking, till clearance of the last point zone track circuit by the said train. It also provided on LC gates (where required) for preventing such unlocking of LC Gate till the said Train has passed beyond LC gate."
18,Balise,Balises mounted between rails transmitting the information electro magnetically through low frequency modulations to be picked up by antenna mounted below the engine of the trains.
19,Berthing Track,"That portion of Track which a train occupies, when concerned stop signal is displaying a stop aspect. The Track Circuit that is on the approach to a signal is called berthing track circuit."
20,Block Back,"To dispatch a message from a block station intimating to the block station immediately in rear on a double line or to the next block station on either side on a single line, that the block section is obstructed or is to be obstructed"
21,Block Forward,To dispatch a message from a block station on a double line intimation to the block station immediately in advance the fact that the block section in advance is obstructed or is to be obstructed.
22,Block Overlap,"Block overlap, is the adequate distance in advance of the first stop signal of a block station, which shall be kept clear and unoccupied by any vehicle, before line clear is granted to the station in rear."
23,Block Section,That portion of the running line between two block stations on to which no running train may enter until Line Clear has been received from the block station at the other end of the block section.
24,Braking Distance,It is the distance travelled by a train after application of brakes by it`s loco pilot.
25,"Catch Siding,","Catch Siding is a siding, provided to protect the Station Section, if the gradient is steeper than"
26,Slip Siding,"1 in 80 falling towards the station section. Slip Siding is a siding, provided to protect the Block Section, if the gradient is steeper than 1 in 100 falling towards the Block Section"
27,Centralised Traffic Control (CTC),"It is a system by which the working of trains over a route, to which the system applies, is governed by fixed signals remotely controlled from a designated place."
28,Class B Station,"Where Line clear may be granted for a train, before the line has been cleared for the reception of the train within the station section."
29,Clear Standing,Distance between foot of the signal to Fouling Mark in the rear on the same line in case of
30,Length (CSL),"Main line and Directional loop at Station yard. In case of Common Loop at the stations, Clear"
31,Clear Standing,Available Length/ Clear Standing Length shall be the distance between two starter signals of
32,Room(CSR),opposite direction on the same line.
33,Colour Light Signal (CLS),A fixed signal in which the indications are given by the colour of a light only.
34,Commissioner of Railway Safety (CRS),"An official, appointed to exercise any functions under the Act. (Explanatory notes: CRS sanctions will be required for carrying out certain types of works. Details given in Chapter 9)"
35,Competent Railway Servant,A railway servant duly qualified to undertake and perform the duties entrusted to him
36,Communication based train control (CBTC),Communication-based train control (CBTC) is a railway signaling system that makes use of the telecommunication between the train and track side equipment for the traffic management and infrastructure control
37,Connections,"When used with reference to a running line, means the points and crossings, or other appliances used to connect such line with other lines or to cross it."
38,Control Panel /Control Cum Indication Panel (CCIP),"It is a device, through which Station Master/authorised Operating staff control & operate signaling gears such as point, signal, LC gates. It has switches/Knobs/Buttons for such operation. Used in Relay Interlocking/Electronic Interlocking/LC gates. Except in major RRIs, It also contains indications, this called Control Cum Indication Panel (CCIP)"
39,Control Terminal,"It is a Video Display Unit (VDU) used for controlling signals, Points, LC gates, etc. in Stations provided with Electronic Interlocking."
40,Control Table,"It is set of interdependencies/relationships/requirements with applicable conditions, among various signaling functions/equipments at a station/yard, presented in a logical way in a tabular format with all possible combinations of routes for all the signals to achieve safety and to provide for operational requirements. It is also called Selection Table/Route Control Chart. Note: It`s equivalent in Mechanical signalling is Locking Table. It is the basis on which detailed design of circuits is undertaken for implementing Interlocking requirements"
41,Controller,Means a railway servant on duty who may for the time being be responsible for regulating the working of traffic on a section of a railway provided with the system of speech communication.
42,Corrective Maintenance,Maintenance carried out after fault detection to effect restoration.
43,Day,Means from sunrise to sunset
44,Detection Point,Axle detector/track device and the Field Unit connected to it.
45,Dead Section,"It is section of track, either within a track circuit or between two track circuits, the rails of which are not part of a track circuit for detecting Trains."
46,Digital Axle Counter (DAC),Digital axle counters which use Digital Electronics & software to identify & display whether a concerned Track section is Clear or Occupied
47,Direction Of Traffic,"On a double line, the direction for which the line is signalled, On a single line, the direction for the time being established, under the system of working, to allow trains to move in that direction;"
48,Driver Machine Interface (DMI),The interface to enable direct interaction between the on-board equipment of ATP and the Loco Pilot.
49,Dual Detection,It is an additional detection provided in addition to Main Detection to enhance availability.
50,Dynamic Speed Profile,The speed/distance profile that a train may follow without violating the static speed profile and/or the end of movement authority.
51,Data Logger,"DLMC is a place extensively used for monitoring of Relay Room door opening, fire alarm,"
52,Management Center (DLMC),"Power supply/Battery voltages, ELD and other Specified signalling/Telecom gears continuously or regularly generally situated at divisional HQ."
53,Electrical Communication Instrument,Means a telephone instrument (including Mobile communication equipment/VHF walkie talkie Set)
54,Emergency Brake,Application of a maximum brake force in order to stop the train in the shortest distance
55,Emergency Braking Distance (EBD),"Is the distance travelled by train before coming to a Dead stop by application of Emergency Brake by Loco-pilot. (Note: For signalling purpose, EBD is reckoned from a Signal displaying a �Attention� aspect to the signal displaying a �Stop� aspect)"
56,End of Authority,Location up to which the train is permitted to proceed and where target speed is zero.
57,Facing And Trailing Points Failure Mode,Points are facing or trailing in accordance with the direction a train or vehicle moves over them. Points are said to be facing points when by their operation a train approaching them can be directly diverted from the line upon which it is running.Manner in which failure occurs
58,Failure Rate,"Limit of the ratio of the conditional probability that the instant of time T, of a failure of a product falls within a given time interval (t, t+ ?t) and the duration of this interval ?t, when ?t tends towards zero, given that the items is in an up state"
59,Factory Acceptance Test (FAT),"A type of Testing done to check whether Software logics of Interlocking/Equipment, to be Installed are responding fully in accordance with logics defined in Control Tables. This is done without any Interface wiring in Relay Room and no connection to Outdoor equipments."
60,Fixed Signal,Means a signal of fixed location indicating a condition affecting the movement of a train and includes a semaphore arm or disc or fixed light for use by day and fixed light for use by night.
61,Fouling Mark,"It marks at which the infringement of two fixed Standard Dimensions fouling block occurs, where two lines cross or join one another. It is placed at a location, where centre to centre distance is less than 4265 mm for existing works and 5300 mm for new works."
62,Functional Safety,Part of overall safety that depends on functional and physical units operating correctively in response to their inputs.
63,Goods Train,Means a train (other than material train) intended solely or mainly for the carriage of animals or goods.
64,Guard,Means the railway servant in charge of a train and includes a Brakesman or any other railway servant who may for the time being be performing the duties of a Guard.
65,Hazard,Condition that could lead to an accident.
66,Hazard Analysis,Process of identifying hazards and analysing their causes and the derivation of requirements to limit the likelihood and consequences of hazards to a tolerable level.
67,Hazard Rate,Rate of occurrence of hazard.
68,Hot Standby,"It is an arrangement for the changeover of system from one active unit to another active unit, being provided for same purpose."
69,Implantation,Horizontal distance from centre of the track.
70,In Advance of A Signal,A term used in defining a territory beyond a signal as seen from the approaching train.
71,In Rear of A Signal,Means the territory over which an approaching train has to pass before reaching the signal location.
